Customer_ID,Name,Age,Salary,Join_Date
C001,Ali,25,35000,2024-01-15
C002,23Mavlon,30,42000,2024-02-20
C003,Sardor,twenty-eight,38000,2024-03-10
C004,Dilshod,27,$45000,15/04/2024
C005,Aziza,31,50000,2024-05-01
C006,123,29,41000,2024-06-05
C007,Nodira,,39000,2024-07-12
C008,Kamola,26,40k,2024-08-15
C009,Ali!,24,36000,2024-09-01
C010,Zafar,35,55000,bad_date
C011,Shahnoza,28,47000,2024-11-10
C012,Muhammad,twenty,43000,2024-12-01
C013,Anvar,22,32000,2025-01-15
C014,  Madina  ,27,41000,2025-02-01
C015,Otabek,29,45000,2025/03/05
C016,Malika,26,37000,not available
C017,Jamshid,30,$48000,2025-05-10
C018,Rustam,31,51000,2025-06-15
C019,Ali123,25,34000,2025-07-01
C020,Zarina,28,39000,2025-08-20
C021,Bekzod,27,40000,2024-01-05
C022,,29,42000,2024-02-08
C023,Muhlisa,26,$39000,2024-03-15
C024,Aziz,thirty,44000,2024-04-01
C025,Jasur,24,35000,2024-05-20
C026,Nargiza,25,36000,2024-06-01
C027,Ali@,28,38000,2024-07-10
C028,Shohruh,26,40000,2024-08-05
C029,Dilnoza,27,41000,31-09-2024
C030,Asad,29,43000,2024-10-01
C031,Madina,24,35000,2024-11-01
C032,Akbar,25,37000,2024-12-15
C033,Sevara,26,39000,2025-01-10
C034,Anora,27,$41000,2025-02-14
C035,Ali,28,43000,2025-03-20
C036,12345,29,45000,2025-04-01
C037,Mansur,30,47000,2025-05-15
C038,Nigina,31,49000,2025-06-01
C039,Azamat,32,51000,2025-07-10
C040,Lola,33,53000,bad-date
C041,Oybek,24,34000,2024-02-01
C042,Gulbahor,25,36000,2024-03-05
C043,Ali_1,26,38000,2024-04-10
C044,Shoxrux,,40000,2024-05-15
C045,Malohat,28,$42000,2024-06-20
C046,Sanjar,29,44000,2024-07-25
C047,Nilufar,twenty-six,46000,2024-08-30
C048,Bobur,31,48000,2024-09-15
C049,Ziyoda,32,50000,2024-10-20
C050,Asila,33,52000,2024-11-25
