customer_id,first_name,email,country,signup_date,segment,loyalty_points
C10000,Liam,liam_10000@gmail.com,Netherlands,2024-08-27,nan,2625.0
C10001,Leon,leon.10001@outlook.com,France,02/11/2023,Consumer,3622.0
C10002,Hannah,hannah_10002@yahoo.co.uk,U.K.,02-14-2023,Consumer,1795.0
C10003,Noah,noah10003@yahoo.co.uk,France,25 Sep 2023,Consumer,4714.0
C10004,Hannah,hannah_10004@yahoo.co.uk,Italy,2023-09-13,Consumer,2039.0
C10005,Elena,elena10005@aurora-test.com,Italy,17/01/2024,Consumer,3399.0
C10006,Marco,,Germany,07-13-2023,Pro Athlete,4992.0
C10007,Hannah,hannah10007@outlook.com,U.K.,04 Dec 2023,Consumer,1745.0
C10008,Mia,mia.10008@outlook.com,Poland,2023-11-09,Business,507.0
C10009,Emma,emma_10009@aurora-test.com,spain,27/08/2023,Consumer,1158.0
C10010,Marco,marco_10010@gmail.com,Poland,05-23-2024,Consumer,1218.0
C10011,Ava,ava.10011@yahoo.co.uk,Germany,12 Aug 2023,Consumer,282.0
C10012,Lucas,lucas.10012@aurora-test.com,uk,2024-07-13,Consumer,2719.0
C10013,Noah,noah.10013@yahoo.co.uk,germany,03/07/2023,consumer,1387.0
C10014,Noah,noah_10014@outlook.com,Germany,09-24-2024,Business,485.0
C10015,Liam,liam_10015@aurora-test.com,Italy,24 Sep 2023,Pro Athlete,684.0
C10016,Piotr,piotr10016@aurora-test.com,Italy,2023-01-30,Consumer,1366.0
C10017,Liam,liam10017@yahoo.co.uk,United Kingdom,20/04/2023,consumer,1846.0
C10018,Olivia,,spain,08-12-2024,Pro Athlete,4872.0
C10019,Piotr,piotr10019@outlook.com,germany,29 Sep 2024,Consumer,3512.0
C10020,Lucas,lucas_10020@aurora-test.com,spain,2023-06-04,Pro Athlete,3573.0
C10021,Sofia,sofia_10021@aurora-test.com,germany,16/03/2024,nan,3460.0
C10022,Hannah,hannah_10022@outlook.com,Spain,02-24-2024,Business,4016.0
C10023,Ava,,Italy,08 Apr 2023,consumer,1590.0
C10024,Olivia,olivia.10024@gmail.com,Germany,2023-11-27,Business,496.0
C10025,Hannah,hannah10025@aurora-test.com,U.K.,22/05/2024,Consumer,2542.0
C10026,Liam,liam10026@gmail.com,Italy,12-07-2024,consumer,6.0
C10027,Lucas,,Poland,11 Sep 2024,nan,1083.0
C10028,Piotr,piotr.10028@outlook.com,France,2023-03-13,Consumer,3765.0
C10029,Piotr,piotr_10029@yahoo.co.uk,Poland,23/06/2023,Business,2514.0
C10030,Ava,ava_10030@yahoo.co.uk,U.K.,11-16-2023,consumer,3453.0
C10031,Hannah,hannah_10031@gmail.com,Netherlands,21 Apr 2023,Consumer,2550.0
C10032,Mia,mia.10032@gmail.com,Poland,2024-02-22,Business,2713.0
C10033,Sofia,,Germany,07/01/2023,Business,1506.0
C10034,Olivia,olivia10034@aurora-test.com,uk,03-24-2023,consumer,1092.0
C10035,Ava,ava.10035@outlook.com,spain,04 Feb 2023,Business,1297.0
C10036,Leon,leon.10036@yahoo.co.uk,Ireland,2023-08-05,Consumer,3990.0
C10037,Piotr,piotr_10037@gmail.com,United Kingdom,11/07/2024,Pro Athlete,4897.0
C10038,James,james_10038@outlook.com,spain,05-10-2023,Business,409.0
C10039,Hannah,,Ireland,22 Dec 2024,Business,2685.0
C10040,,marco.10040@aurora-test.com,United Kingdom,2023-07-17,Consumer,2352.0
C10041,Piotr,piotr_10041@gmail.com,Spain,02/02/2023,Consumer,2810.0
C10042,Ava,ava10042@outlook.com,United Kingdom,09-03-2023,Pro Athlete,1164.0
C10043,Olivia,olivia.10043@yahoo.co.uk,U.K.,30 Jun 2024,Consumer,38.0
C10044,Emma,,France,2023-03-19,Consumer,1016.0
C10045,Marco,marco_10045@aurora-test.com,Germany,22/02/2023,Business,909.0
C10046,Elena,elena10046@yahoo.co.uk,uk,09-12-2024,Business,261.0
C10047,Mia,mia.10047@outlook.com,Netherlands,08 Mar 2024,Pro Athlete,1783.0
C10048,Olivia,olivia10048@yahoo.co.uk,U.K.,2023-09-08,Business,3419.0
C10049,Olivia,,Ireland,06/07/2024,Pro Athlete,4829.0
C10050,Sofia,sofia10050@outlook.com,U.K.,09-09-2024,Consumer,3286.0
C10051,Mia,mia_10051@outlook.com,Spain,20 Sep 2023,Business,876.0
C10052,James,james_10052@gmail.com,Italy,2024-02-15,Business,1810.0
C10053,Leon,leon_10053@gmail.com,France,08/01/2023,Business,1516.0
C10054,Lucas,lucas10054@aurora-test.com,France,08-12-2023,Consumer,1060.0
C10055,James,james.10055@aurora-test.com,Netherlands,11 Mar 2024,Consumer,4950.0
C10056,Olivia,olivia.10056@yahoo.co.uk,United Kingdom,2023-05-25,consumer,3278.0
C10057,Sofia,,Netherlands,25/12/2024,Business,2405.0
C10058,Hannah,hannah.10058@yahoo.co.uk,Italy,12-10-2024,consumer,2183.0
C10059,,marco10059@gmail.com,Netherlands,08 Jul 2023,Business,1592.0
C10060,Sofia,sofia_10060@aurora-test.com,France,2023-10-17,Business,2083.0
C10061,Noah,noah10061@yahoo.co.uk,germany,19/05/2023,Consumer,3171.0
C10062,Piotr,piotr10062@gmail.com,Spain,01-04-2024,Business,4641.0
C10063,Sofia,sofia_10063@outlook.com,spain,01 Apr 2023,consumer,2481.0
C10064,Noah,noah.10064@gmail.com,Poland,2023-10-13,Consumer,924.0
C10065,Sofia,sofia10065@yahoo.co.uk,Ireland,10/02/2024,Consumer,4787.0
C10066,James,james10066@aurora-test.com,United Kingdom,03-23-2024,consumer,1574.0
C10067,Noah,noah10067@gmail.com,uk,12 Mar 2024,Business,415.0
C10068,Lucas,lucas.10068@outlook.com,Poland,2023-06-11,Consumer,2720.0
C10069,Elena,elena.10069@outlook.com,germany,02/08/2024,Consumer,3952.0
C10070,Hannah,hannah.10070@aurora-test.com,Spain,05-20-2024,Consumer,1287.0
C10071,Hannah,,United Kingdom,04 Jul 2024,Business,1395.0
C10072,Lucas,lucas10072@yahoo.co.uk,uk,2023-12-09,consumer,1446.0
C10073,Olivia,olivia.10073@gmail.com,germany,14/10/2024,Consumer,4033.0
C10074,Ava,ava10074@outlook.com,Italy,10-12-2023,Pro Athlete,4786.0
C10075,,piotr_10075@aurora-test.com,Netherlands,12 Aug 2024,Consumer,4238.0
C10076,James,james10076@yahoo.co.uk,Ireland,2023-05-29,Consumer,1130.0
C10077,Elena,elena10077@aurora-test.com,U.K.,30/06/2023,Consumer,4246.0
C10078,Leon,leon_10078@gmail.com,U.K.,01-21-2024,Business,1548.0
C10079,Emma,emma_10079@outlook.com,Spain,11 Feb 2024,Business,4333.0
C10080,Hannah,hannah_10080@aurora-test.com,Spain,2024-06-29,Consumer,4956.0
C10081,Marco,marco10081@gmail.com,United Kingdom,06/08/2023,Business,3590.0
C10082,James,james10082@aurora-test.com,France,09-29-2024,Business,4775.0
C10083,Olivia,olivia_10083@yahoo.co.uk,Ireland,30 Aug 2023,Pro Athlete,712.0
C10084,Leon,leon.10084@yahoo.co.uk,uk,2024-01-26,Pro Athlete,3274.0
C10085,Piotr,piotr10085@gmail.com,Netherlands,12/11/2024,Business,259.0
C10086,James,james10086@aurora-test.com,France,01-30-2024,Consumer,3261.0
C10087,Leon,leon_10087@yahoo.co.uk,Spain,13 May 2024,Consumer,1703.0
C10088,Olivia,olivia_10088@yahoo.co.uk,spain,2024-10-26,Pro Athlete,4849.0
C10089,Leon,leon.10089@yahoo.co.uk,Italy,13/12/2024,consumer,2475.0
C10090,Mia,mia10090@gmail.com,spain,01-01-2024,consumer,3812.0
C10091,Olivia,olivia10091@gmail.com,uk,01 Nov 2023,Pro Athlete,1513.0
C10092,Leon,,Germany,2023-05-24,Pro Athlete,374.0
C10093,Elena,elena10093@outlook.com,Ireland,28/01/2024,Business,3711.0
C10094,Elena,elena_10094@outlook.com,United Kingdom,11-02-2024,Pro Athlete,1108.0
C10095,James,james.10095@outlook.com,Italy,23 Dec 2023,Consumer,3612.0
C10096,Emma,emma_10096@outlook.com,Spain,2023-09-12,Business,2323.0
C10097,Emma,emma_10097@yahoo.co.uk,uk,20/03/2023,nan,4859.0
C10098,Sofia,,uk,10-12-2023,Consumer,1763.0
C10099,Liam,liam_10099@outlook.com,Poland,23 Jun 2023,Consumer,2002.0
C10100,Marco,marco10100@aurora-test.com,United Kingdom,2024-12-14,Business,3702.0
C10101,Hannah,hannah_10101@gmail.com,United Kingdom,21/01/2024,consumer,3928.0
C10102,Marco,marco_10102@aurora-test.com,United Kingdom,04-11-2023,Consumer,628.0
C10103,Liam,liam.10103@outlook.com,spain,19 Feb 2023,Consumer,3705.0
C10104,James,james.10104@gmail.com,Poland,2024-09-13,Consumer,2457.0
C10105,Elena,elena10105@aurora-test.com,U.K.,11/11/2024,Consumer,4943.0
C10106,Noah,,Netherlands,07-11-2024,Pro Athlete,3155.0
C10107,Leon,leon10107@yahoo.co.uk,Italy,01 Apr 2023,Business,3868.0
C10108,Elena,elena.10108@aurora-test.com,U.K.,2023-03-13,Business,1719.0
C10109,James,james10109@outlook.com,United Kingdom,25/05/2023,Consumer,1417.0
C10110,James,james10110@gmail.com,France,07-03-2024,Consumer,3925.0
C10111,,james10111@gmail.com,United Kingdom,13 Jul 2024,Consumer,76.0
C10112,Liam,liam_10112@gmail.com,uk,2024-09-04,Pro Athlete,2902.0
C10113,James,james_10113@aurora-test.com,France,12/03/2023,nan,4840.0
C10114,Marco,marco10114@aurora-test.com,Netherlands,04-22-2023,Consumer,4955.0
C10115,Mia,mia_10115@aurora-test.com,Poland,20 Oct 2024,nan,3580.0
C10116,Piotr,piotr_10116@aurora-test.com,spain,2024-11-09,Consumer,2486.0
C10117,Marco,marco.10117@aurora-test.com,Germany,14/06/2024,Consumer,4063.0
C10118,Piotr,piotr10118@outlook.com,Germany,03-19-2023,Business,73.0
C10119,Emma,emma.10119@gmail.com,spain,20 Feb 2023,Consumer,3966.0
C10120,Noah,noah.10120@aurora-test.com,U.K.,2023-02-10,Pro Athlete,949.0
C10121,,marco.10121@gmail.com,Spain,20/05/2024,Consumer,3678.0
C10122,,emma.10122@outlook.com,Netherlands,09-10-2024,Business,1740.0
C10123,James,james_10123@aurora-test.com,Ireland,06 Apr 2024,Consumer,3757.0
C10124,Leon,leon_10124@yahoo.co.uk,United Kingdom,2023-07-11,Consumer,3016.0
C10125,Marco,marco10125@outlook.com,Germany,07/07/2024,Consumer,4647.0
C10126,Piotr,piotr10126@gmail.com,Germany,02-13-2023,Pro Athlete,3937.0
C10127,Elena,elena.10127@aurora-test.com,Spain,28 Aug 2024,consumer,4570.0
C10128,Olivia,olivia_10128@outlook.com,U.K.,2024-10-13,Business,756.0
C10129,Hannah,hannah10129@outlook.com,Poland,09/06/2024,Consumer,1896.0
C10130,Marco,marco_10130@outlook.com,Poland,10-04-2024,Consumer,2187.0
C10131,Leon,leon_10131@yahoo.co.uk,Germany,04 Mar 2024,Consumer,154.0
C10132,Marco,marco_10132@yahoo.co.uk,germany,2023-12-09,Business,113.0
